Datetime,Relative_Humidity,Temperature,MC_PM25,NC_PM25,5_min_sample,10_min_sample,15_min_sample,2.5_min_sample,7.5_min_sample,5_min_sample_NC,10_min_sample_NC,15_min_sample_NC,2.5_min_sample_NC,7.5_min_sample_NC
2024-05-10 13:00:00,51.41,30.86,5,38,5,5,5,5,5,38,38,38,38,38
2024-05-10 13:00:05,51.37,30.84,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:10,51.41,30.9,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:16,51.39,30.88,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:20,51.41,30.88,4,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:25,51.42,30.87,4,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:30,51.43,30.86,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:35,51.41,30.85,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:42,51.41,30.86,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:48,51.43,30.86,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:00:56,51.48,30.83,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:02,51.45,30.85,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:06,51.45,30.88,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:10,51.44,30.86,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:13,51.44,30.86,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:18,51.39,30.85,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:21,51.42,30.87,5,41,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:30,51.42,30.85,6,43,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:33,51.42,30.87,6,44,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:38,51.36,30.87,6,42,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:41,51.41,30.88,5,41,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:45,51.39,30.89,5,40,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:50,51.36,30.85,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:01:55,51.4,30.87,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:01,51.41,30.85,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:06,51.38,30.83,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:10,51.37,30.83,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:17,51.37,30.88,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:20,51.38,30.84,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:25,51.37,30.86,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:30,51.35,30.89,5,34,0,0,0,5,0,0,0,0,34,0
2024-05-10 13:02:36,51.37,30.84,5,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:43,51.38,30.84,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:47,51.44,30.85,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:50,51.45,30.85,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:02:56,51.44,30.84,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:00,51.41,30.84,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:05,51.48,30.83,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:10,51.44,30.86,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:15,51.4,30.87,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:20,51.31,30.88,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:25,51.34,30.86,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:31,51.35,30.86,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:36,51.35,30.85,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:40,51.35,30.85,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:45,51.34,30.88,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:50,51.32,30.87,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:03:55,51.32,30.88,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:00,51.3,30.88,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:05,51.32,30.89,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:10,51.32,30.87,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:17,51.34,30.91,5,40,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:21,51.39,30.88,6,42,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:25,51.35,30.85,5,41,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:30,51.34,30.87,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:35,51.31,30.89,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:40,51.31,30.9,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:45,51.34,30.88,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:50,51.31,30.89,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:04:55,51.32,30.91,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:01,51.28,30.88,5,36,5,0,0,5,0,36,0,0,36,0
2024-05-10 13:05:05,51.29,30.89,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:10,51.3,30.91,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:15,51.27,30.9,5,41,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:20,51.28,30.9,5,40,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:25,51.28,30.88,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:30,51.29,30.88,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:35,51.31,30.91,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:40,51.31,30.94,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:54,51.26,30.95,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:05:56,51.26,30.91,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:00,51.3,30.91,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:05,51.22,30.91,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:10,51.26,30.92,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:15,51.23,30.91,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:20,51.23,30.91,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:25,51.28,30.91,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:30,51.23,30.91,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:35,51.28,30.91,5,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:40,51.27,30.91,4,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:45,51.23,30.9,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:50,51.29,30.9,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:06:55,51.3,30.88,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:00,51.29,30.91,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:07,51.3,30.9,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:10,51.29,30.89,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:15,51.32,30.88,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:20,51.3,30.91,5,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:25,51.26,30.91,4,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:30,51.24,30.91,4,34,0,0,0,4,4,0,0,0,34,34
2024-05-10 13:07:35,51.23,30.92,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:40,51.26,30.9,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:45,51.28,30.88,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:50,51.28,30.9,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:07:55,51.29,30.87,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:01,51.27,30.87,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:05,51.28,30.88,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:10,51.27,30.9,4,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:15,51.27,30.9,4,33,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:20,51.3,30.9,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:25,51.26,30.9,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:30,51.28,30.88,5,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:35,51.3,30.91,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:40,51.26,30.9,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:45,51.29,30.89,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:50,51.3,30.91,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:08:56,51.29,30.92,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:01,51.26,30.89,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:07,51.25,30.9,5,40,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:12,51.25,30.9,6,42,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:15,51.25,30.89,6,44,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:20,51.29,30.91,6,44,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:25,51.32,30.88,6,43,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:31,51.27,30.91,6,42,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:35,51.22,30.9,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:40,51.22,30.91,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:45,51.26,30.92,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:55,51.21,30.92,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:09:58,51.2,30.93,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:01,51.19,30.93,5,35,5,5,0,5,0,35,35,0,35,0
2024-05-10 13:10:05,51.18,30.93,4,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:10,51.2,30.9,4,33,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:15,51.25,30.9,4,33,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:20,51.29,30.92,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:25,51.28,30.92,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:30,51.24,30.9,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:35,51.21,30.9,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:40,51.22,30.94,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:45,51.22,30.92,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:50,51.19,30.93,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:10:55,51.21,30.92,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:00,51.21,30.89,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:06,51.23,30.92,4,33,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:10,51.26,30.9,4,32,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:15,51.23,30.9,4,32,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:20,51.26,30.93,4,32,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:25,51.22,30.92,4,33,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:30,51.27,30.89,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:35,51.22,30.89,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:40,51.26,30.86,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:45,51.24,30.91,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:50,51.2,30.88,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:11:55,51.22,30.9,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:02,51.23,30.87,5,39,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:05,51.25,30.88,5,38,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:10,51.26,30.89,5,37,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:15,51.25,30.88,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:20,51.25,30.88,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:26,51.27,30.88,5,34,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:30,51.27,30.87,5,35,0,0,0,5,0,0,0,0,35,0
2024-05-10 13:12:35,51.31,30.85,5,36,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:41,51.27,30.88,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:45,51.28,30.88,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:50,51.32,30.83,5,35,0,0,0,0,0,0,0,0,0,0
2024-05-10 13:12:55,51.33,30.84,5,36,0,0,0,0,0,0,0,0,0,0
