Datetime,Relative_Humidity,Temperature,MC_PM25,NC_PM25,5_min_sample
2024-05-10 18:00:00,"46,63","33,02",6,48,6
2024-05-10 18:00:06,"46,59","33,06",6,47,0
2024-05-10 18:00:10,"46,55","33,07",6,48,0
2024-05-10 18:00:16,"46,5","33,07",7,50,0
2024-05-10 18:00:20,"46,48","33,06",7,50,0
2024-05-10 18:00:25,"46,43","33,1",7,51,0
2024-05-10 18:00:30,"46,4","33,11",7,53,0
2024-05-10 18:00:35,"46,41","33,11",7,53,0
2024-05-10 18:00:40,"46,4","33,08",7,53,0
2024-05-10 18:00:45,"46,42","33,1",7,53,0
2024-05-10 18:00:50,"46,4","33,12",7,53,0
2024-05-10 18:00:55,"46,4","33,14",7,53,0
2024-05-10 18:01:01,"46,36","33,12",7,51,0
2024-05-10 18:01:06,"46,33","33,12",7,49,0
2024-05-10 18:01:11,"46,35","33,1",6,47,0
2024-05-10 18:01:15,"46,34","33,1",6,45,0
2024-05-10 18:01:20,"46,36","33,08",6,44,0
2024-05-10 18:01:25,"46,33","33,09",6,45,0
2024-05-10 18:01:30,"46,35","33,1",6,46,0
2024-05-10 18:01:36,"46,36","33,11",6,48,0
2024-05-10 18:01:40,"46,4","33,07",7,52,0
2024-05-10 18:01:45,"46,41","33,09",7,52,0
2024-05-10 18:01:50,"46,37","33,09",7,50,0
2024-05-10 18:01:55,"46,36","33,07",6,48,0
2024-05-10 18:02:00,"46,4","33,07",6,44,0
2024-05-10 18:02:05,"46,42","33,05",6,42,0
2024-05-10 18:02:10,"46,41","33,08",5,41,0
2024-05-10 18:02:15,"46,44","33,12",6,42,0
2024-05-10 18:02:20,"46,39","33,06",6,43,0
2024-05-10 18:02:25,"46,43","33,03",6,44,0
2024-05-10 18:02:30,"46,41","33,01",6,45,0
2024-05-10 18:02:35,"46,48",33,6,44,0
2024-05-10 18:02:40,"46,52",33,6,45,0
2024-05-10 18:02:45,"46,6","32,98",6,45,0
2024-05-10 18:02:50,"46,63","32,94",6,46,0
2024-05-10 18:03:00,"46,64","32,96",6,46,0
2024-05-10 18:03:05,"46,65","32,96",6,45,0
2024-05-10 18:03:10,"46,63","32,97",6,44,0
2024-05-10 18:03:15,"46,65","32,98",6,44,0
2024-05-10 18:03:20,"46,66","32,99",6,44,0
2024-05-10 18:03:25,"46,69","32,98",6,45,0
2024-05-10 18:03:30,"46,67","32,95",6,46,0
2024-05-10 18:03:35,"46,72","32,95",6,47,0
2024-05-10 18:03:40,"46,71","32,96",7,50,0
2024-05-10 18:03:45,"46,69",33,7,53,0
2024-05-10 18:03:50,"46,63","33,01",7,53,0
2024-05-10 18:03:55,"46,6","32,99",7,51,0
2024-05-10 18:04:00,"46,64","32,98",7,52,0
2024-05-10 18:04:05,"46,62","32,98",7,51,0
2024-05-10 18:04:10,"46,62","32,96",7,50,0
2024-05-10 18:04:15,"46,69","32,96",7,50,0
2024-05-10 18:04:20,"46,65","32,99",6,49,0
2024-05-10 18:04:25,"46,63","32,96",7,49,0
2024-05-10 18:04:30,"46,72","32,98",7,49,0
2024-05-10 18:04:35,"46,7","32,96",7,50,0
2024-05-10 18:04:40,"46,68",33,7,51,0
2024-05-10 18:04:45,"46,71","32,98",7,50,0
2024-05-10 18:04:50,"46,73","33,01",6,49,0
2024-05-10 18:04:55,"46,7","32,98",6,46,0
2024-05-10 18:05:00,"46,75","32,98",6,45,6
2024-05-10 18:05:05,"46,78","32,94",6,45,0
2024-05-10 18:05:10,"46,76","32,97",6,42,0
2024-05-10 18:05:15,"46,8","32,95",5,41,0
2024-05-10 18:05:20,"46,8","32,95",6,42,0
2024-05-10 18:05:25,"46,79","32,95",6,43,0
2024-05-10 18:05:30,"46,77","32,95",6,43,0
2024-05-10 18:05:35,"46,74","32,96",6,43,0
2024-05-10 18:05:40,"46,76","32,96",6,44,0
2024-05-10 18:05:45,"46,69","32,95",6,45,0
2024-05-10 18:05:50,"46,78","32,92",6,45,0
2024-05-10 18:05:55,"46,81","32,87",6,46,0
2024-05-10 18:06:00,"46,85","32,87",6,48,0
2024-05-10 18:06:05,"46,92","32,9",7,50,0
2024-05-10 18:06:10,"46,86","32,92",7,50,0
2024-05-10 18:06:15,"46,85","32,91",6,49,0
2024-05-10 18:06:20,"46,84","32,95",6,48,0
2024-05-10 18:06:25,"46,81","32,95",6,48,0
2024-05-10 18:06:30,"46,81","32,95",6,48,0
2024-05-10 18:06:35,"46,8","32,93",6,47,0
2024-05-10 18:06:40,"46,8","32,95",6,45,0
2024-05-10 18:06:45,"46,79","32,95",6,44,0
2024-05-10 18:06:50,"46,84","32,94",6,44,0
2024-05-10 18:06:55,"46,82","32,92",6,45,0
2024-05-10 18:07:00,"46,85","32,94",6,46,0
2024-05-10 18:07:05,"46,86","32,91",6,47,0
2024-05-10 18:07:10,"46,85","32,93",6,47,0
2024-05-10 18:07:15,"46,82","32,96",6,46,0
2024-05-10 18:07:20,"46,78","32,95",6,46,0
2024-05-10 18:07:25,"46,8","32,95",6,48,0
2024-05-10 18:07:30,"46,81","32,96",7,49,0
2024-05-10 18:07:35,"46,8","32,96",7,51,0
2024-05-10 18:07:40,"46,77","32,96",6,49,0
2024-05-10 18:07:45,"46,78","32,95",6,47,0
2024-05-10 18:07:50,"46,85","32,91",6,45,0
2024-05-10 18:07:55,"46,86","32,91",6,45,0
2024-05-10 18:08:00,"46,92","32,92",6,45,0
2024-05-10 18:08:05,"46,86","32,91",6,45,0
2024-05-10 18:08:10,"46,91","32,91",6,46,0
2024-05-10 18:08:15,"46,88","32,94",6,47,0
2024-05-10 18:08:20,"46,8","32,98",6,46,0
2024-05-10 18:08:26,"46,73","32,98",6,46,0
2024-05-10 18:08:30,"46,72","32,98",6,46,0
2024-05-10 18:08:35,"46,73","32,98",6,46,0
2024-05-10 18:08:40,"46,71","32,99",6,47,0
2024-05-10 18:08:45,"46,7","33,02",6,46,0
2024-05-10 18:08:50,"46,65","33,04",6,46,0
2024-05-10 18:08:55,"46,65","33,03",6,49,0
2024-05-10 18:09:00,"46,67","32,99",7,52,0
2024-05-10 18:09:05,"46,67",33,7,56,0
2024-05-10 18:09:10,"46,7","33,01",8,58,0
2024-05-10 18:09:15,"46,65",33,7,55,0
2024-05-10 18:09:20,"46,67","33,02",7,54,0
2024-05-10 18:09:25,"46,66","33,04",7,51,0
2024-05-10 18:09:30,"46,64","33,05",6,47,0
2024-05-10 18:09:35,"46,61","33,08",6,44,0
2024-05-10 18:09:40,"46,61","33,04",6,43,0
2024-05-10 18:09:45,"46,59","33,06",6,43,0
2024-05-10 18:09:50,"46,58","33,07",6,43,0
2024-05-10 18:09:55,"46,56","33,08",6,46,0
2024-05-10 18:10:00,"46,54","33,08",6,45,6
2024-05-10 18:10:05,"46,59","33,06",6,44,0
2024-05-10 18:10:10,"46,56","33,05",6,45,0
2024-05-10 18:10:15,"46,62","33,06",6,46,0
2024-05-10 18:10:20,"46,54","33,05",6,48,0
2024-05-10 18:10:25,"46,57","33,04",6,48,0
2024-05-10 18:10:30,"46,63","33,03",6,47,0
2024-05-10 18:10:35,"46,69","32,98",6,48,0
2024-05-10 18:10:40,"46,69","32,98",7,49,0
2024-05-10 18:10:45,"46,73","32,99",6,49,0
2024-05-10 18:10:50,"46,73","32,98",7,49,0
2024-05-10 18:10:55,"46,74","32,99",7,51,0
2024-05-10 18:11:00,"46,68","33,02",7,51,0
2024-05-10 18:11:05,"46,67","33,02",7,50,0
2024-05-10 18:11:10,"46,63","33,07",6,48,0
2024-05-10 18:11:15,"46,61","33,03",6,48,0
2024-05-10 18:11:20,"46,62","33,04",6,46,0
2024-05-10 18:11:25,"46,6","33,05",6,44,0
2024-05-10 18:11:30,"46,61","33,05",6,42,0
2024-05-10 18:11:35,"46,62","33,06",5,41,0
2024-05-10 18:11:40,"46,63","33,05",5,41,0
2024-05-10 18:11:45,"46,57","33,07",6,44,0
2024-05-10 18:11:50,"46,61","33,04",6,46,0
2024-05-10 18:11:55,"46,61","33,05",6,47,0
2024-05-10 18:12:00,"46,58","33,06",6,46,0
2024-05-10 18:12:05,"46,6","33,03",6,45,0
2024-05-10 18:12:10,"46,61","33,03",6,46,0
2024-05-10 18:12:15,"46,65","33,01",6,46,0
2024-05-10 18:12:20,"46,67",33,6,45,0
2024-05-10 18:12:25,"46,72","32,97",6,44,0
2024-05-10 18:12:30,"46,74","32,99",6,44,0
2024-05-10 18:12:35,"46,73","32,99",6,44,0
2024-05-10 18:12:40,"46,71","32,99",6,44,0
2024-05-10 18:12:45,"46,71","32,98",6,44,0
2024-05-10 18:12:50,"46,74","32,92",6,43,0
2024-05-10 18:12:55,"46,82","32,95",6,42,0
