Datetime,Relative_Humidity,Temperature,MC_PM25,NC_PM25,5_min_sample
2024-05-10 13:00:04,"53,84","29,88",5,38,5
2024-05-10 13:00:09,"53,87","29,86",5,40,0
2024-05-10 13:00:14,"53,87","29,85",5,41,0
2024-05-10 13:00:19,"53,9","29,87",6,42,0
2024-05-10 13:00:24,"53,94","29,87",6,42,0
2024-05-10 13:00:29,"53,98","29,85",5,41,0
2024-05-10 13:00:34,"53,9","29,84",5,41,0
2024-05-10 13:00:40,"53,87","29,85",5,41,0
2024-05-10 13:00:46,"53,9","29,88",5,41,0
2024-05-10 13:00:54,"53,85","29,88",5,41,0
2024-05-10 13:01:00,"53,83","29,87",5,41,0
2024-05-10 13:01:06,"53,86","29,91",5,40,0
2024-05-10 13:01:09,"53,79","29,9",5,39,0
2024-05-10 13:01:12,"53,77","29,89",5,39,0
2024-05-10 13:01:15,"53,77","29,9",5,38,0
2024-05-10 13:01:20,"53,73","29,92",5,39,0
2024-05-10 13:01:24,"53,69","29,92",5,39,0
2024-05-10 13:01:32,"53,72","29,98",5,40,0
2024-05-10 13:01:36,"53,75","29,91",5,40,0
2024-05-10 13:01:40,"53,74","29,92",5,40,0
2024-05-10 13:01:45,"53,73","29,92",5,39,0
2024-05-10 13:01:49,"53,74","29,93",5,39,0
2024-05-10 13:01:54,"53,75","29,92",5,39,0
2024-05-10 13:01:59,"53,73","29,91",5,39,0
2024-05-10 13:02:04,"53,68","29,93",5,40,0
2024-05-10 13:02:09,"53,67","29,94",6,43,0
2024-05-10 13:02:14,"53,65","29,94",6,45,0
2024-05-10 13:02:19,"53,66","29,92",6,46,0
2024-05-10 13:02:24,"53,7","29,91",6,46,0
2024-05-10 13:02:29,"53,74","29,9",6,48,0
2024-05-10 13:02:34,"53,78","29,88",6,47,0
2024-05-10 13:02:42,"53,83","29,84",6,44,0
2024-05-10 13:02:45,"53,89","29,84",6,43,0
2024-05-10 13:02:50,"53,9","29,83",6,43,0
2024-05-10 13:02:54,"53,92","29,82",6,43,0
2024-05-10 13:02:59,54,"29,82",6,42,0
2024-05-10 13:03:04,54,"29,78",6,42,0
2024-05-10 13:03:09,"53,98","29,79",5,41,0
2024-05-10 13:03:14,"54,04","29,74",6,42,0
2024-05-10 13:03:19,"54,11","29,75",5,41,0
2024-05-10 13:03:24,"54,1","29,75",6,42,0
2024-05-10 13:03:29,"54,02","29,77",6,43,0
2024-05-10 13:03:34,"54,05","29,78",6,43,0
2024-05-10 13:03:39,"54,05","29,8",6,43,0
2024-05-10 13:03:44,"53,98","29,82",6,44,0
2024-05-10 13:03:49,"53,96","29,84",6,46,0
