Datetime,Relative_Humidity,Temperature,MC_PM25,NC_PM25,5_min_sample,10_min_sample,15_min_sample,2.5_min_sample,7.5_min_sample,5_min_sample_NC,10_min_sample_NC,15_min_sample_NC,2.5_min_sample_NC,7.5_min_sample_NC
2024-12-10 19:00:03,49.5,29.93,4,32,4,4,4,4,4,32,32,32,32,32
2024-12-10 19:00:07,49.45,29.92,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:12,49.48,29.95,5,34,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:17,49.5,29.97,5,34,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:22,49.38,29.93,5,34,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:27,49.38,29.95,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:32,49.35,29.96,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:38,49.43,29.97,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:42,49.42,29.96,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:47,49.45,29.96,4,28,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:52,49.57,29.98,4,28,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:00:57,49.68,29.99,4,27,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:03,49.81,29.99,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:07,49.82,29.98,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:12,49.67,29.97,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:17,49.58,29.96,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:22,49.54,29.99,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:27,49.61,29.99,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:32,49.64,30.0,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:42,49.66,30.0,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:54,49.7,30.0,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:01:59,49.68,30.02,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:02,49.68,30.03,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:07,49.66,30.02,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:11,49.79,30.0,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:14,49.87,30.02,5,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:18,49.86,30.02,5,34,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:22,49.89,30.04,5,36,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:26,49.89,30.05,5,36,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:30,49.9,30.02,5,35,0,0,0,5,0,0,0,0,35,0
2024-12-10 19:02:35,49.91,30.03,5,35,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:38,49.84,30.04,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:43,49.88,30.06,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:49,49.81,30.06,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:52,49.79,30.06,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:02:57,49.79,30.06,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:02,49.74,30.05,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:08,49.71,30.06,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:12,49.72,30.06,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:17,49.7,30.08,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:22,49.69,30.06,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:27,49.7,30.06,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:32,49.69,30.09,5,34,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:37,49.72,30.06,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:42,49.7,30.08,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:47,49.67,30.08,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:52,49.62,30.09,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:03:57,49.57,30.08,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:02,49.55,30.09,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:07,49.48,30.09,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:12,49.48,30.08,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:17,49.48,30.07,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:22,49.49,30.09,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:32,49.54,30.09,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:36,49.55,30.08,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:41,49.58,30.09,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:44,49.57,30.12,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:48,49.52,30.1,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:52,49.46,30.09,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:04:57,49.47,30.1,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:05,49.45,30.11,4,33,4,0,0,4,0,33,0,0,33,0
2024-12-10 19:05:10,49.46,30.1,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:14,49.51,30.11,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:18,49.52,30.11,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:24,49.56,30.1,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:28,49.55,30.12,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:32,49.58,30.13,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:39,49.59,30.11,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:44,49.59,30.1,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:51,49.58,30.13,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:54,49.55,30.1,4,33,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:05:58,49.52,30.14,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:02,49.5,30.1,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:07,49.49,30.12,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:13,49.51,30.12,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:17,49.5,30.14,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:22,49.47,30.1,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:27,49.5,30.12,4,28,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:32,49.52,30.15,4,28,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:38,49.5,30.12,4,28,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:43,49.5,30.12,4,28,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:47,49.48,30.14,4,27,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:52,49.51,30.13,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:06:57,49.47,30.12,4,32,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:02,49.49,30.13,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:07,49.5,30.12,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:12,49.53,30.13,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:22,49.5,30.12,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:27,49.48,30.13,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:30,49.46,30.13,4,29,0,0,0,4,4,0,0,0,29,29
2024-12-10 19:07:33,49.47,30.15,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:37,49.45,30.13,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:42,49.52,30.12,4,31,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:47,49.56,30.13,4,30,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:52,49.56,30.13,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:07:57,49.58,30.12,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:08:02,49.48,30.13,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:08:07,49.4,30.14,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:08:17,49.41,30.12,4,29,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:08:21,49.4,30.12,7,52,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:08:26,49.5,30.13,21,157,0,0,0,0,0,0,0,0,0,0
2024-12-10 19:08:30,49.55,30.13,27,202,0,0,0,0,0,0,0,0,0,0
