Datetime,MC_PM25
2024-10-11 00:10:03,22
2024-10-11 00:10:10,22
2024-10-11 00:10:27,21
2024-10-11 00:10:32,21
2024-10-11 00:10:41,21
2024-10-11 00:10:45,21
2024-10-11 00:10:54,21
2024-10-11 00:10:58,21
2024-10-11 00:11:17,20
2024-10-11 00:11:22,20
2024-10-11 00:11:39,20
2024-10-11 00:11:43,20
2024-10-11 00:11:54,19
2024-10-11 00:12:00,20
2024-10-11 00:12:08,21
2024-10-11 00:12:15,21
2024-10-11 00:12:22,21
2024-10-11 00:12:29,21
2024-10-11 00:12:35,21
2024-10-11 00:12:42,20
2024-10-11 00:12:50,21
2024-10-11 00:13:16,20
2024-10-11 00:13:32,21
2024-10-11 00:13:44,21
2024-10-11 00:13:53,22
2024-10-11 00:13:59,23
2024-10-11 00:14:07,23
2024-10-11 00:14:14,24
2024-10-11 00:14:22,23
2024-10-11 00:14:28,22
2024-10-11 00:14:37,22
2024-10-11 00:14:43,22
2024-10-11 00:14:50,22
2024-10-11 00:14:57,22
2024-10-11 00:15:13,22
2024-10-11 00:15:18,22
2024-10-11 00:15:25,22
2024-10-11 00:15:42,21
2024-10-11 00:15:51,21
2024-10-11 00:15:57,20
2024-10-11 00:16:06,20
2024-10-11 00:16:13,20
2024-10-11 00:16:22,20
2024-10-11 00:16:29,20
2024-10-11 00:16:37,20
2024-10-11 00:16:44,20
2024-10-11 00:16:54,21
2024-10-11 00:17:08,21
2024-10-11 00:17:28,22
2024-10-11 00:17:35,22
2024-10-11 00:17:55,22
2024-10-11 00:18:02,22
2024-10-11 00:18:10,21
2024-10-11 00:18:17,22
2024-10-11 00:18:26,22
2024-10-11 00:18:33,22
2024-10-11 00:18:42,22
2024-10-11 00:18:49,22
2024-10-11 00:18:56,22
2024-10-11 00:19:04,22
2024-10-11 00:19:13,22
2024-10-11 00:19:30,22
2024-10-11 00:19:39,21
2024-10-11 00:19:56,22
2024-10-11 00:20:05,22
2024-10-11 00:20:13,22
2024-10-11 00:20:26,21
2024-10-11 00:20:44,21
2024-10-11 00:20:53,21
2024-10-11 00:21:00,21
2024-10-11 00:21:09,21
2024-10-11 00:21:16,20
2024-10-11 00:21:35,20
2024-10-11 00:21:41,20
2024-10-11 00:22:00,20
2024-10-11 00:22:07,20
2024-10-11 00:22:25,20
2024-10-11 00:22:32,21
2024-10-11 00:22:52,21
2024-10-11 00:23:08,21
2024-10-11 00:23:25,21
2024-10-11 00:23:49,21
2024-10-11 00:23:56,21
2024-10-11 00:24:05,21
2024-10-11 00:24:13,21
2024-10-11 00:24:27,21
2024-10-11 00:24:37,21
2024-10-11 00:24:44,20
2024-10-11 00:25:03,20
2024-10-11 00:25:08,20
2024-10-11 00:25:29,20
2024-10-11 00:25:36,20
2024-10-11 00:25:43,20
2024-10-11 00:25:50,20
2024-10-11 00:26:10,20
2024-10-11 00:26:17,21
2024-10-11 00:26:24,21
2024-10-11 00:26:39,22
2024-10-11 00:27:02,22
2024-10-11 00:27:09,22
2024-10-11 00:27:18,22
